DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2017-11-05,Linköping,Karlskrona,5,-,2,Reg,"2-0, 1-1, 2-1",Saab Arena,4503
2017-11-04,Växjö,Rögle,3,-,0,Reg,"0-0, 1-0, 2-0",Vida Arena,4315
2017-11-04,Brynäs,Mora,5,-,2,Reg,"3-0, 1-2, 1-0",Gavlerinken Arena,5735
2017-11-04,Färjestad,Djurgården,2,-,1,Reg,"1-0, 0-0, 1-1",Löfbergs Arena,8500
2017-11-04,Skellefteå,Malmö,4,-,2,Reg,"2-0, 1-2, 1-0",Skellefteå Kraft Arena,5085
2017-11-04,HV71,Frölunda,5,-,4,Reg,"1-0, 2-3, 2-1",Kinnarps Arena,7000
2017-11-03,Rögle,Växjö,3,-,4,Reg,"1-3, 1-0, 1-1",Lindab Arena,3755
2017-11-03,Djurgården,Färjestad,3,-,1,Reg,"2-0, 0-1, 1-0",Hovet,8094
2017-11-02,Luleå,HV71,3,-,2,Reg,"0-0, 2-1, 1-1",Coop Norrbotten Arena,5046
2017-11-02,Mora,Malmö,1,-,3,Reg,"0-1, 0-1, 1-1",Jalas Arena,4119
2017-11-02,Linköping,Brynäs,3,-,1,Reg,"1-0, 0-0, 2-1",Saab Arena,5709
2017-11-02,Karlskrona,Örebro,6,-,3,Reg,"2-1, 2-2, 2-0",NKT Arena Karlskrona,3538
2017-11-02,Frölunda,Skellefteå,1,-,2,Reg,"0-0, 0-1, 1-1",Scandinavium,9595
2017-10-28,Skellefteå,Djurgården,1,-,2,Reg,"0-1, 1-1, 0-0",Skellefteå Kraft Arena,5393
2017-10-28,Malmö,Karlskrona,3,-,1,Reg,"1-0, 1-0, 1-1",Malmö Arena,6914
2017-10-28,Växjö,HV71,2,-,1,OT,"0-0, 1-1, 0-0, 1-0",Vida Arena,5750
2017-10-28,Örebro,Mora,1,-,2,SO,"0-0, 0-0, 1-1, 0-0, 0-1",Behrn Arena,5086
2017-10-28,Rögle,Luleå,1,-,2,Reg,"0-1, 0-1, 1-0",Lindab Arena,3791
2017-10-28,Färjestad,Brynäs,2,-,1,Reg,"0-0, 1-0, 1-1",Löfbergs Arena,7737
2017-10-28,Frölunda,Linköping,4,-,0,Reg,"2-0, 2-0, 0-0",Scandinavium,8499
2017-10-27,Mora,Örebro,3,-,2,Reg,"2-1, 1-1, 0-0",Jalas Arena,4046
2017-10-27,Djurgården,Skellefteå,2,-,1,Reg,"2-0, 0-1, 0-0",Hovet,6556
2017-10-26,Luleå,Malmö,1,-,2,Reg,"0-1, 0-1, 1-0",Coop Norrbotten Arena,4079
2017-10-26,Brynäs,Färjestad,1,-,4,Reg,"0-2, 1-2, 0-0",Gavlerinken Arena,4716
2017-10-26,Växjö,Frölunda,7,-,3,Reg,"1-1, 2-2, 4-0",Vida Arena,4389
2017-10-26,Linköping,Rögle,4,-,2,Reg,"3-1, 1-1, 0-0",Saab Arena,4895
2017-10-26,HV71,Karlskrona,5,-,3,Reg,"2-1, 3-1, 0-1",Kinnarps Arena,6230
2017-10-25,Skellefteå,Mora,10,-,4,Reg,"3-2, 4-1, 3-1",Skellefteå Kraft Arena,3567
2017-10-24,Rögle,Linköping,0,-,6,Reg,"0-1, 0-3, 0-2",Lindab Arena,3225
2017-10-24,Färjestad,Växjö,1,-,3,Reg,"1-1, 0-1, 0-1",Löfbergs Arena,7075
2017-10-24,Karlskrona,Luleå,0,-,1,OT,"0-0, 0-0, 0-0, 0-1",NKT Arena Karlskrona,3179
2017-10-24,Malmö,HV71,3,-,1,Reg,"1-0, 2-1, 0-0",Malmö Arena,5451
2017-10-24,Frölunda,Brynäs,0,-,4,Reg,"0-0, 0-2, 0-2",Scandinavium,8096
2017-10-24,Djurgården,Örebro,2,-,1,Reg,"0-0, 1-0, 1-1",Hovet,5435
2017-10-21,Örebro,Färjestad,3,-,2,Reg,"1-1, 1-1, 1-0",Behrn Arena,5500
2017-10-21,Brynäs,Mora,0,-,2,Reg,"0-0, 0-1, 0-1",Gavlerinken Arena,6184
2017-10-21,Luleå,Växjö,2,-,0,Reg,"2-0, 0-0, 0-0",Coop Norrbotten Arena,5022
2017-10-21,Frölunda,Skellefteå,3,-,2,OT,"0-0, 2-1, 0-1, 1-0",Scandinavium,12044
2017-10-21,HV71,Rögle,2,-,1,Reg,"0-0, 1-1, 1-0",Kinnarps Arena,6438
2017-10-19,Mora,Frölunda,3,-,4,SO,"1-1, 1-2, 1-0, 0-0, 0-1",Jalas Arena,4001
2017-10-19,Brynäs,Rögle,4,-,5,Reg,"2-1, 0-2, 2-2",Gavlerinken Arena,3637
2017-10-19,Skellefteå,Linköping,4,-,1,Reg,"1-0, 1-1, 2-0",Skellefteå Kraft Arena,4371
2017-10-19,Växjö,Malmö,1,-,2,Reg,"1-1, 0-1, 0-0",Vida Arena,4055
2017-10-19,Färjestad,Luleå,4,-,2,Reg,"2-0, 1-1, 1-1",Löfbergs Arena,5695
2017-10-19,HV71,Örebro,2,-,6,Reg,"1-0, 0-4, 1-2",Kinnarps Arena,6455
2017-10-19,Karlskrona,Djurgården,2,-,1,SO,"0-0, 0-1, 1-0, 0-0, 1-0",NKT Arena Karlskrona,3153
2017-10-17,Malmö,Luleå,1,-,2,Reg,"0-1, 1-1, 0-0",Malmö Arena,5089
2017-10-17,Linköping,Djurgården,3,-,2,SO,"0-1, 2-0, 0-1, 0-0, 1-0",Saab Arena,4705
2017-10-17,Frölunda,Örebro,3,-,2,Reg,"1-1, 1-1, 1-0",Scandinavium,7190
2017-10-17,Rögle,Färjestad,5,-,2,Reg,"0-1, 2-0, 3-1",Lindab Arena,3378
2017-10-14,HV71,Färjestad,2,-,4,Reg,"0-0, 1-1, 1-3",Kinnarps Arena,7000
2017-10-14,Karlskrona,Växjö,1,-,3,Reg,"0-0, 1-0, 0-3",NKT Arena Karlskrona,3950
2017-10-14,Skellefteå,Brynäs,1,-,2,Reg,"1-1, 0-0, 0-1",Skellefteå Kraft Arena,5062
2017-10-14,Djurgården,Mora,6,-,0,Reg,"1-0, 3-0, 2-0",Hovet,6032
2017-10-14,Linköping,Frölunda,2,-,3,Reg,"0-1, 1-2, 1-0",Saab Arena,6029
2017-10-13,Växjö,Karlskrona,5,-,0,Reg,"1-0, 2-0, 2-0",Vida Arena,4360
2017-10-12,Luleå,Rögle,3,-,4,SO,"3-1, 0-0, 0-2, 0-0, 0-1",Coop Norrbotten Arena,5319
2017-10-12,Örebro,Mora,4,-,1,Reg,"2-0, 2-1, 0-0",Behrn Arena,5102
2017-10-12,Djurgården,Färjestad,2,-,4,Reg,"0-2, 2-0, 0-2",Hovet,7425
2017-10-12,Linköping,Malmö,4,-,1,Reg,"1-0, 0-1, 3-0",Saab Arena,4067
2017-10-12,Frölunda,HV71,1,-,3,Reg,"0-1, 1-0, 0-2",Scandinavium,9274
2017-10-12,Brynäs,Skellefteå,2,-,8,Reg,"1-3, 0-3, 1-2",Gavlerinken Arena,4069
2017-10-09,Malmö,Örebro,2,-,3,OT,"0-1, 1-1, 1-0, 0-1",Malmö Arena,4564
2017-10-08,Djurgården,Växjö,2,-,1,Reg,"0-0, 0-1, 2-0",Hovet,5879
2017-10-07,Örebro,Linköping,2,-,1,OT,"0-0, 1-0, 0-1, 1-0",Behrn Arena,4756
2017-10-07,Karlskrona,Rögle,2,-,1,SO,"0-0, 1-0, 0-1, 0-0, 1-0",NKT Arena Karlskrona,3432
2017-10-07,Frölunda,Luleå,4,-,3,Reg,"1-0, 0-1, 3-2",Scandinavium,8337
2017-10-07,Skellefteå,Malmö,3,-,0,Reg,"2-0, 0-0, 1-0",Skellefteå Kraft Arena,4726
2017-10-07,Färjestad,Brynäs,4,-,1,Reg,"1-1, 2-0, 1-0",Löfbergs Arena,6623
2017-10-07,Mora,HV71,5,-,3,Reg,"2-2, 2-0, 1-1",Jalas Arena,4113
2017-10-06,Linköping,Örebro,1,-,4,Reg,"1-2, 0-0, 0-2",Saab Arena,5106
2017-10-05,Skellefteå,HV71,6,-,2,Reg,"2-1, 1-1, 3-0",Skellefteå Kraft Arena,5801
2017-10-05,Brynäs,Karlskrona,3,-,1,Reg,"1-1, 2-0, 0-0",Gavlerinken Arena,3532
2017-10-05,Rögle,Djurgården,2,-,6,Reg,"0-2, 1-2, 1-2",Lindab Arena,3350
2017-10-05,Växjö,Mora,5,-,2,Reg,"1-2, 1-0, 3-0",Vida Arena,4103
2017-10-05,Malmö,Färjestad,3,-,2,OT,"0-0, 1-0, 1-2, 1-0",Malmö Arena,6272
2017-10-05,Luleå,Frölunda,3,-,2,OT,"1-1, 0-0, 1-1, 1-0",Coop Norrbotten Arena,4067
2017-10-01,Färjestad,Mora,4,-,1,Reg,"0-0, 1-1, 3-0",Löfbergs Arena,7164
2017-09-30,Karlskrona,HV71,0,-,1,Reg,"0-0, 0-1, 0-0",NKT Arena Karlskrona,4183
2017-09-30,Växjö,Frölunda,3,-,1,Reg,"1-1, 0-0, 2-0",Vida Arena,5002
