DATUM,HEMMA,BORTA,HS,-,VS,DEC,PERIOD,ARENA,ATT
2018-03-10,Skellefteå,Karlskrona,-,-,-,-,,Skellefteå Kraft Arena,-
2018-03-10,Örebro,Djurgården,-,-,-,-,,Behrn Arena,-
2018-03-10,Rögle,Luleå,-,-,-,-,,Lindab Arena,-
2018-03-10,Färjestad,HV71,-,-,-,-,,Löfbergs Arena,-
2018-03-10,Linköping,Växjö,-,-,-,-,,Saab Arena,-
2018-03-10,Frölunda,Brynäs,-,-,-,-,,Scandinavium,-
2018-03-10,Malmö,Mora,-,-,-,-,,Malmö Arena,-
2018-03-08,Luleå,Skellefteå,-,-,-,-,,Coop Norrbotten Arena,-
2018-03-08,Mora,Örebro,-,-,-,-,,Jalas Arena,-
2018-03-08,Brynäs,Linköping,-,-,-,-,,Gavlerinken Arena,-
2018-03-08,Djurgården,HV71,-,-,-,-,,Hovet,-
2018-03-08,Rögle,Färjestad,-,-,-,-,,Lindab Arena,-
2018-03-08,Växjö,Malmö,-,-,-,-,,Vida Arena,-
2018-03-08,Karlskrona,Frölunda,-,-,-,-,,NKT Arena Karlskrona,-
2018-03-06,Skellefteå,Djurgården,-,-,-,-,,Skellefteå Kraft Arena,-
2018-03-06,Mora,Brynäs,-,-,-,-,,Jalas Arena,-
2018-03-06,Örebro,Karlskrona,-,-,-,-,,Behrn Arena,-
2018-03-06,Linköping,Rögle,-,-,-,-,,Saab Arena,-
2018-03-06,HV71,Luleå,-,-,-,-,,Kinnarps Arena,-
2018-03-06,Malmö,Färjestad,-,-,-,-,,Malmö Arena,-
2018-03-06,Frölunda,Växjö,-,-,-,-,,Scandinavium,-
2018-03-03,Djurgården,Mora,-,-,-,-,,Hovet,-
2018-03-03,Färjestad,Örebro,-,-,-,-,,Löfbergs Arena,-
2018-03-03,Karlskrona,Rögle,-,-,-,-,,NKT Arena Karlskrona,-
2018-03-03,Brynäs,Skellefteå,-,-,-,-,,Gavlerinken Arena,-
2018-03-03,Luleå,Malmö,-,-,-,-,,Coop Norrbotten Arena,-
2018-03-03,Frölunda,HV71,-,-,-,-,,Scandinavium,-
2018-03-03,Växjö,Linköping,-,-,-,-,,Vida Arena,-
2018-03-02,Rögle,Karlskrona,-,-,-,-,,Lindab Arena,-
2018-03-01,Luleå,Mora,-,-,-,-,,Coop Norrbotten Arena,-
2018-03-01,Örebro,Växjö,-,-,-,-,,Behrn Arena,-
2018-03-01,Brynäs,Frölunda,-,-,-,-,,Gavlerinken Arena,-
